id_booking,id_passenger,id_session
7247707146,1473897178,1473897178_0
7247709055,740090251,740090251_0
7247711838,357913856,357913856_0
7247725362,1400247406,1400247406_0
7247730560,1505192749,1505192749_0
7247746361,1500878156,1500878156_0
7247749006,1095449888,1095449888_0
7247806851,1095449888,1095449888_1
7247753951,4935961,4935961_0
7247756159,1393515559,1393515559_0
7248212916,1393515559,1393515559_1
7247762461,737921673,737921673_0
7247762921,1393326131,1393326131_0
7247764117,1481582697,1481582697_0
7247793741,490311401,490311401_0
7247798617,390430267,390430267_0
7247803723,1469492011,1469492011_0
7247815706,1469492011,1469492011_1
7247805793,512423049,512423049_0
7247807081,1353026635,1353026635_0
7247814142,1393485406,1393485406_0
7247832128,1239844279,1239844279_0
7247958007,1239844279,1239844279_1
7247832910,506170361,506170361_0
7247840201,490533719,490533719_0
7247850275,1417533332,1417533332_0
7247864719,1516076947,1516076947_0
7247898782,754851352,754851352_0
7247899472,1095668365,1095668365_0
7247901910,761422199,761422199_0
7249620700,761422199,761422199_1
7247902278,1315430030,1315430030_0
7247902623,1356231110,1356231110_0
7247902761,548072405,548072405_0
7247905912,1488246280,1488246280_0
7247907269,1399003520,1399003520_0
7247907867,567290308,567290308_0
7247908074,1295781498,1295781498_0
7247908143,465325420,465325420_0
7247910489,1522494522,1522494522_0
7247911248,1396430303,1396430303_0
7247912122,1161220550,1161220550_0
7247914146,1330285477,1330285477_0
7247916446,454381859,454381859_0
7247916584,1331317671,1331317671_0
7247917205,706079300,706079300_0
7247917389,996943878,996943878_0
7247917573,1392315488,1392315488_0
7247920793,537373518,537373518_0
7247921667,1339642843,1339642843_0
7247924473,1365844581,1365844581_0
7247925738,1343231556,1343231556_0
7247926313,1385362818,1385362818_0
7247930246,1388456134,1388456134_0
7247936134,1395178045,1395178045_0
7247937123,1510614447,1510614447_0
7247937169,1396421356,1396421356_0
7247938204,1514433666,1514433666_0
7247938411,1505916398,1505916398_0
7247940619,559320555,559320555_0
7247940665,1396300583,1396300583_0
7247941401,1337394823,1337394823_0
7247941815,737101148,737101148_0
7247944736,442505901,442505901_0
7247946001,446141281,446141281_0
7247947818,1473021338,1473021338_0
7247948186,1415620997,1415620997_0
7247950256,471789524,471789524_0
7247951728,144677751,144677751_0
7247957340,1405196178,1405196178_0
7247961043,1405196178,1405196178_0
7247957938,1356007504,1356007504_0
7247958651,1365092757,1365092757_0
7247960721,1374680123,1374680123_0
7247961273,1522191934,1522191934_0
7247962423,1166828686,1166828686_0
7247963366,1340524295,1340524295_0
7247963573,755675994,755675994_0
7247963964,1348274007,1348274007_0
7247965045,1499948404,1499948404_0
7247965183,1320819781,1320819781_0
7247965827,1395954778,1395954778_0
7247965988,1331162122,1331162122_0
7247966448,1354466274,1354466274_0
7247966862,1355023265,1355023265_0
7247967023,1297952307,1297952307_0
7247967506,474884726,474884726_0
7247968288,574380817,574380817_0
7247969576,1330596414,1330596414_0
7247970266,766888287,766888287_0
7247971945,1424422637,1424422637_0
7247972359,1408140546,1408140546_0
7247982203,1408140546,1408140546_1
7247973440,474710478,474710478_0
7247976223,1397415002,1397415002_0
7247978937,1397415002,1397415002_0
7247977143,511921166,511921166_0
7247978017,1473876340,1473876340_0
7247978040,749725848,749725848_0
7247979006,1341363496,1341363496_0
7247979742,1419296949,1419296949_0
7247979765,744422899,744422899_0
7247980800,1364045268,1364045268_0
7247983767,1282933790,1282933790_0
7247984894,1276404021,1276404021_0
7247985561,487950060,487950060_0
7247987240,1247406426,1247406426_0
7247988045,1304706809,1304706809_0
7247990483,1420922129,1420922129_0
7247991219,465199794,465199794_0
7247991610,1515829237,1515829237_0
7247991932,1521745619,1521745619_0
7247994807,474717148,474717148_0
7247995819,1242510140,1242510140_0
7247996877,1362090406,1362090406_0
7247998073,467385438,467385438_0
7247998901,1348879850,1348879850_0
7248000120,1398091064,1398091064_0
7248004490,1382092218,1382092218_0
7248006307,425811604,425811604_0
7248209742,425811604,425811604_1
7248007089,1494633150,1494633150_0
7248008101,485125706,485125706_0
7248018704,1205564941,1205564941_0
7248020866,1500032170,1500032170_0
7248021809,1373033254,1373033254_0
7248022315,1095736606,1095736606_0
7248022683,1521410394,1521410394_0
7248022936,305021009,305021009_0
7248050168,474092376,474092376_0
7248053733,1132877627,1132877627_0
7248058402,1118389766,1118389766_0
7248062358,329478542,329478542_0
7248062427,563721881,563721881_0
7248063508,552135999,552135999_0
7248072524,733706854,733706854_0
7248074640,1522553172,1522553172_0
7248078734,1402352711,1402352711_0
7248080183,1482102865,1482102865_0
7248085588,1201302857,1201302857_0
7248086117,627498558,627498558_0
7248086485,791711497,791711497_0
7248086646,1427521680,1427521680_0
7248087934,394718364,394718364_0
7248088463,525237338,525237338_0
7248090372,1513584069,1513584069_0
7248235364,1513584069,1513584069_1
7248092534,767908475,767908475_0
7248094604,199655824,199655824_0
7248095018,1521999815,1521999815_0
7248097525,384680152,384680152_0
7248098353,1208179167,1208179167_0
7248153300,1208179167,1208179167_1
7248101136,492326592,492326592_0
7248141294,492326592,492326592_1
7248103459,1500010113,1500010113_0
7248213284,1500010113,1500010113_1
7248104494,512411595,512411595_0
7248105161,1403636778,1403636778_0
7248110934,762710475,762710475_0
7248111716,1500669454,1500669454_0
7248114890,1500669454,1500669454_0
7248112567,1492392145,1492392145_0
7248122181,1492392145,1492392145_1
7248145733,1500669454,1500669454_1
7248115948,1314680046,1314680046_0
7248116385,1349050418,1349050418_0
7248116914,1266977517,1266977517_0
7248117811,1399514028,1399514028_0
7248121445,1481255522,1481255522_0
7248122250,1238319379,1238319379_0
7248217125,1238319379,1238319379_1
7248123032,430740182,430740182_0
7248123561,1519666028,1519666028_0
7248123837,1239719895,1239719895_0
7248125585,380879540,380879540_0
7248128644,1339186431,1339186431_0
7248130070,1522476490,1522476490_0
7248130438,565152734,565152734_0
7248131749,565152734,565152734_0
7248133520,1233829227,1233829227_0
7248134072,1379718549,1379718549_0
7248134187,377400652,377400652_0
7248135061,1463175084,1463175084_0
7248135176,457239609,457239609_0
7248135291,1282693118,1282693118_0
7248151736,1282693118,1282693118_1
7248135498,1225094908,1225094908_0
7248136326,1378525999,1378525999_0
7248137223,1440504950,1440504950_0
7248137292,1337547175,1337547175_0
7248137637,391023644,391023644_0
7248138442,1419441573,1419441573_0
7248139454,792777846,792777846_0
7248139546,1276246655,1276246655_0
7248140397,1355822193,1355822193_0
7248177105,1355822193,1355822193_1
7248140696,12776960,12776960_0
7248188904,12776960,12776960_1
7248140995,580785098,580785098_0
7248141708,454447041,454447041_0
7248142651,1326900038,1326900038_0
7248191986,1326900038,1326900038_1
7248153185,1500669454,1500669454_1
7248145963,713467360,713467360_0
7248146216,1404190434,1404190434_0
7248147297,1234386701,1234386701_0
7248147481,1353592918,1353592918_0
7248149390,1353592918,1353592918_0
7248148493,606674841,606674841_0
7248149206,1332861523,1332861523_0
7248150862,1332861523,1332861523_0
7248149344,391625278,391625278_0
7248149482,622284159,622284159_0
7248150977,1521803418,1521803418_0
7248152173,1521803418,1521803418_0
7248151138,1477334252,1477334252_0
7248176714,1477334252,1477334252_1
7248152265,1478734239,1478734239_0
7248158291,1500669454,1500669454_1
7248157624,1397577221,1397577221_0
7248160959,653569081,653569081_0
7248163190,1519713385,1519713385_0
7248164409,1394142194,1394142194_0
7248168066,1394142194,1394142194_0
7248165582,290932704,290932704_0
7248165743,1344324999,1344324999_0
7248166824,801736668,801736668_0
7248167399,1220825556,1220825556_0
7248177841,1220825556,1220825556_0
7248167951,716579444,716579444_0
7248168549,1339800853,1339800853_0
7248168848,1350211067,1350211067_0
7248169262,1158938053,1158938053_0
7248170573,87763860,87763860_0
7248172367,1340718622,1340718622_0
7248174667,796074643,796074643_0
7248174851,611485107,611485107_0
7248187777,1477334252,1477334252_1
7248177335,689804040,689804040_0
7248178738,490618543,490618543_0
7249314639,490618543,490618543_1
7248178876,1505583979,1505583979_0
7248186052,1505583979,1505583979_0
7248178922,1368112358,1368112358_0
7248180440,328776421,328776421_0
7248184580,328776421,328776421_0
7248180509,755171880,755171880_0
7248180808,1326289365,1326289365_0
7248181015,332601666,332601666_0
7248181314,1357077947,1357077947_0
7248182349,1363829275,1363829275_0
7248182487,1518961354,1518961354_0
7248196172,328776421,328776421_0
7248195045,1505583979,1505583979_0
7248186305,786629026,786629026_0
7248187731,1392806262,1392806262_0
7248195482,1477334252,1477334252_1
7248188651,491982535,491982535_0
7248188697,354292943,354292943_0
7248191549,12776960,12776960_1
7248189433,793007777,793007777_0
7249325610,793007777,793007777_1
7248189709,1465553836,1465553836_0
7248192101,1465553836,1465553836_0
7248191066,1522459493,1522459493_0
7248191273,1340054612,1340054612_0
7248201094,1340054612,1340054612_0
7248191457,1212525891,1212525891_0
7248195781,12776960,12776960_1
7248191963,1331227764,1331227764_0
7248194746,1331227764,1331227764_0
7248197736,1465553836,1465553836_0
7248194125,1335439156,1335439156_0
7248204774,1331227764,1331227764_0
7248197828,1477334252,1477334252_1
7248195597,383629535,383629535_0
7248200887,1477334252,1477334252_1
7248204613,1477334252,1477334252_1
7248204291,1340054612,1340054612_0
7248204245,777180603,777180603_0
7248207396,1350896513,1350896513_0
7248208523,514827193,514827193_0
7248209374,1375402001,1375402001_0
7248211444,202758202,202758202_0
7248212364,344760593,344760593_0
7248218091,1238319379,1238319379_1
7248217999,1388783125,1388783125_0
7248219425,436497381,436497381_0
7248219517,1521418398,1521418398_0
7248221196,1253440545,1253440545_0
7248224830,1417336613,1417336613_0
7248225060,516516589,516516589_0
7248227636,1287821313,1287821313_0
7248237572,1287821313,1287821313_0
7248227728,7752012,7752012_0
7248227843,1424062917,1424062917_0
7248228326,1205065381,1205065381_0
7248228487,438843657,438843657_0
7248230396,483238257,483238257_0
7248230856,1357457677,1357457677_0
7248232880,532224508,532224508_0
7248233823,1508357825,1508357825_0
7248237986,1287821313,1287821313_0
7248238078,1399549034,1399549034_0
7248240286,1407099267,1407099267_0
7248252292,1407099267,1407099267_0
7248242678,1324445478,1324445478_0
7248243667,1362951503,1362951503_0
7248246151,1362951503,1362951503_0
7248245438,456611548,456611548_0
